dataset,strategy,trial,seed,aubc,final_accuracy,source
splice,BALD,0,0,0,0,tabpfn_results_20260103_165514.json
splice,BALD,1,1,0,0,tabpfn_results_20260103_165514.json
splice,BALD,2,2,0,0,tabpfn_results_20260103_165514.json
splice,BALD,3,3,0,0,tabpfn_results_20260103_165514.json
splice,BALD,4,4,0,0,tabpfn_results_20260103_165514.json
splice,BALD,5,5,0,0,tabpfn_results_20260103_165514.json
splice,BALD,7,7,0,0,tabpfn_results_20260103_165514.json
splice,BALD,8,8,0,0,tabpfn_results_20260103_165514.json
splice,BALD,9,9,0,0,tabpfn_results_20260103_165514.json
splice,BALD,6,6,0,0,tabpfn_results_20260103_165514.json
splice,US-NC,0,0,0,0,tabpfn_results_20260103_165514.json
splice,US-NC,1,1,0,0,tabpfn_results_20260103_165514.json
splice,US-NC,3,3,0,0,tabpfn_results_20260103_165514.json
splice,US-NC,2,2,0,0,tabpfn_results_20260103_165514.json
splice,US-NC,9,9,0,0,tabpfn_results_20260103_165514.json
splice,US-NC,8,8,0,0,tabpfn_results_20260103_165514.json
splice,US-NC,6,6,0,0,tabpfn_results_20260103_165514.json
splice,US-NC,5,5,0,0,tabpfn_results_20260103_165514.json
splice,US-NC,4,4,0,0,tabpfn_results_20260103_165514.json
splice,US-NC,7,7,0,0,tabpfn_results_20260103_165514.json
ionosphere,BALD,6,6,0,0,tabpfn_results_20260103_174955.json
ionosphere,BALD,0,0,0,0,tabpfn_results_20260103_174955.json
ionosphere,BALD,1,1,0,0,tabpfn_results_20260103_174955.json
ionosphere,BALD,2,2,0,0,tabpfn_results_20260103_174955.json
ionosphere,BALD,3,3,0,0,tabpfn_results_20260103_174955.json
ionosphere,BALD,4,4,0,0,tabpfn_results_20260103_174955.json
ionosphere,BALD,5,5,0,0,tabpfn_results_20260103_174955.json
ionosphere,BALD,7,7,0,0,tabpfn_results_20260103_174955.json
ionosphere,BALD,9,9,0,0,tabpfn_results_20260103_174955.json
ionosphere,BALD,8,8,0,0,tabpfn_results_20260103_174955.json
ionosphere,US-NC,0,0,0,0,tabpfn_results_20260103_174955.json
ionosphere,US-NC,2,2,0,0,tabpfn_results_20260103_174955.json
