trial,train_aubc,AUBC,dataset,strategy_code,strategy
0,0.9161544731294756,0.908335214579224,pol,skal_bald,BALD
1,0.9079120844775952,0.9072730816534732,pol,skal_bald,BALD
2,0.8968905678254454,0.8874003402279453,pol,skal_bald,BALD
3,0.9030878834460528,0.9027809131875956,pol,skal_bald,BALD
4,0.912148219063387,0.9115098941197806,pol,skal_bald,BALD
5,0.9012813268752946,0.9031213878536896,pol,skal_bald,BALD
6,0.8919158546826127,0.8878055790968293,pol,skal_bald,BALD
7,0.8990343373231378,0.8962409623097011,pol,skal_bald,BALD
8,0.9078207902461572,0.9088477769841592,pol,skal_bald,BALD
9,0.9122493829414672,0.9087009781245028,pol,skal_bald,BALD
0,0.9540638244826728,0.9369128513608852,ionosphere,uniform,Random
1,0.9423959112440788,0.9093052615944452,ionosphere,uniform,Random
2,0.9543380703066566,0.9126100033418738,ionosphere,uniform,Random
3,0.9407504363001744,0.9209275556050648,ionosphere,uniform,Random
4,0.957367240089753,0.90195313950466,ionosphere,uniform,Random
5,0.9641610570929944,0.924956369982548,ionosphere,uniform,Random
6,0.9421715282971826,0.8961791244290965,ionosphere,uniform,Random
7,0.962428322114186,0.900913445471761,ionosphere,uniform,Random
8,0.948740962353528,0.9520812446622852,ionosphere,uniform,Random
9,0.9529169783096484,0.9090267721213472,ionosphere,uniform,Random
1,0.7920609384882497,0.7957022475028774,pol,skal_coreset,Core-Set
2,0.7996502855206528,0.7806788028614676,pol,skal_coreset,Core-Set
3,0.7929496179213044,0.7978672222818464,pol,skal_coreset,Core-Set
4,0.6695802686024334,0.6620406521816902,pol,skal_coreset,Core-Set
5,0.7458598888513294,0.7463068984361604,pol,skal_coreset,Core-Set
6,0.8054939388032558,0.8089048928430005,pol,skal_coreset,Core-Set
7,0.7987180151482626,0.8104839057872059,pol,skal_coreset,Core-Set
8,0.8269415034268236,0.8291927419683137,pol,skal_coreset,Core-Set
9,0.8405167911475849,0.8440687709481356,pol,skal_coreset,Core-Set
0,0.7968263328752171,0.8047038548887104,pol,skal_coreset,Core-Set
0,0.6959701492537316,0.6748942786069652,splice,skal_coreset,Core-Set
1,0.7529643449419569,0.7379975124378111,splice,skal_coreset,Core-Set
2,0.7188225538971807,0.6419154228855721,splice,skal_coreset,Core-Set
3,0.7642868988391377,0.755,splice,skal_coreset,Core-Set
4,0.7122346600331674,0.6382151741293531,splice,skal_coreset,Core-Set
5,0.7593698175787728,0.6860572139303484,splice,skal_coreset,Core-Set
6,0.7776782752902156,0.7139987562189055,splice,skal_coreset,Core-Set
7,0.7672305140961856,0.7020149253731341,splice,skal_coreset,Core-Set
8,0.747226368159204,0.7578669154228856,splice,skal_coreset,Core-Set
9,0.6984991708126037,0.6254850746268658,splice,skal_coreset,Core-Set
0,0.6990008291873964,0.6800497512437811,splice,skal_coreset,Core-Set
1,0.7501202321724709,0.7364676616915422,splice,skal_coreset,Core-Set
2,0.7035281923714761,0.6197388059701492,splice,skal_coreset,Core-Set
3,0.7472139303482587,0.744521144278607,splice,skal_coreset,Core-Set
4,0.7015215588723052,0.6275808457711443,splice,skal_coreset,Core-Set
5,0.7437728026533998,0.6738743781094528,splice,skal_coreset,Core-Set
6,0.7810696517412935,0.7170398009950248,splice,skal_coreset,Core-Set
7,0.7647097844112769,0.697705223880597,splice,skal_coreset,Core-Set
8,0.7410447761194029,0.7461069651741293,splice,skal_coreset,Core-Set
9,0.68856135986733,0.6223134328358207,splice,skal_coreset,Core-Set
0,0.784830016583748,0.7362437810945271,splice,uniform,Random
1,0.7918698175787727,0.7730907960199006,splice,uniform,Random
2,0.7971144278606965,0.7229415422885573,splice,uniform,Random
3,0.7852114427860699,0.7642723880597017,splice,uniform,Random
4,0.8045771144278605,0.7294465174129352,splice,uniform,Random
5,0.7920232172470977,0.7390485074626866,splice,uniform,Random
6,0.8089883913764511,0.7719838308457709,splice,uniform,Random
7,0.7944485903814263,0.7241853233830846,splice,uniform,Random
8,0.7695563847429518,0.7520522388059703,splice,uniform,Random
9,0.7715878938640132,0.7043718905472638,splice,uniform,Random
0,0.7848548922056384,0.7361940298507461,splice,uniform,Random
1,0.7918532338308457,0.7730783582089553,splice,uniform,Random
2,0.79712271973466,0.7229539800995026,splice,uniform,Random
3,0.7851948590381429,0.7642972636815922,splice,uniform,Random
4,0.8045771144278605,0.7294589552238805,splice,uniform,Random
5,0.7920232172470977,0.7390360696517412,splice,uniform,Random
6,0.808971807628524,0.7719713930348256,splice,uniform,Random
7,0.7944485903814263,0.7241480099502486,splice,uniform,Random
8,0.769572968490879,0.752039800995025,splice,uniform,Random
9,0.7715961857379766,0.7043470149253732,splice,uniform,Random
0,0.8233789386401327,0.7733706467661691,splice,skal_bald,BALD
1,0.813474295190713,0.7747263681592041,splice,skal_bald,BALD
2,0.8335240464344943,0.7610385572139301,splice,skal_bald,BALD
3,0.8016915422885571,0.7896579601990049,splice,skal_bald,BALD
4,0.8347346600331675,0.769794776119403,splice,skal_bald,BALD
5,0.8431177446102818,0.7505348258706466,splice,skal_bald,BALD
6,0.8261401326699834,0.752468905472637,splice,skal_bald,BALD
7,0.8304228855721394,0.771026119402985,splice,skal_bald,BALD
8,0.7893905472636816,0.7545584577114427,splice,skal_bald,BALD
9,0.8080306799336648,0.7394651741293532,splice,skal_bald,BALD
0,0.9102779210247324,0.9031176870421016,pol,google_us_margin,Uncertainty Sampling (US)
1,0.913800973640641,0.9082241902315844,pol,google_us_margin,Uncertainty Sampling (US)
2,0.9041488704600656,0.8980716304418893,pol,google_us_margin,Uncertainty Sampling (US)
3,0.8984931516989363,0.8952966385528348,pol,google_us_margin,Uncertainty Sampling (US)
4,0.9136627985876536,0.9110152189708536,pol,google_us_margin,Uncertainty Sampling (US)
5,0.8995483814190742,0.8945762138970409,pol,google_us_margin,Uncertainty Sampling (US)
6,0.8931923289816415,0.8907464907054119,pol,google_us_margin,Uncertainty Sampling (US)
7,0.9082390165226112,0.9069393918086236,pol,google_us_margin,Uncertainty Sampling (US)
8,0.9028995376893018,0.9020450684835184,pol,google_us_margin,Uncertainty Sampling (US)
9,0.911202789162141,0.9071170307648464,pol,google_us_margin,Uncertainty Sampling (US)
0,0.8746094292959077,0.8728937756049903,pol,uniform,Random
1,0.8624010876350598,0.8589651543916914,pol,uniform,Random
